Omschrijving;Grootboek
Opleidingskosten;410200
Personeelsadv. en wervingskstn;410310
Pers./sal.adm. en arbodiensten;410320
Overige personeelskosten;410400
WKR geschenken/kerstpakket;410402
WKR personeelsfeest;410404
WKR afdelingsuitje;410405
WKR jubileum;410406
WKR overig;410408
(Automaten-) cateringkosten;411060
Overige huisvestingskosten;411400
Kantoorbenodigdheden;412000
Abonnementen / lidmaatschappen;412010
Kantoorautomatisering hardware;412110
Mobiele telefonie en data;412160
Overige kantoorkosten;412400
Reis- en verblijfkosten (fact);413000
Brandstofkosten;414020
Overige autokosten;414400
Software;415020
Overige ICT kosten;415400
Externe consultancy en advies;424000
Gereedschap en calibratie;430020
Bedrijfskleding;430030
Logistieke kosten extern;430050
Externe communicatie;430060
Overige kosten;430400
Verkeersboetes;431000
Inkoop div kosten afgesl. S&O;855052
